Version,Released,Active Support,Security Support,Release
21.04,1 month and 2 weeks ago (22 Apr 2021),Ends            in 6 months and 3 weeks (01 Jan 2022),Ends            in 6 months and 3 weeks (01 Jan 2022),21.04
20.10,7 months ago (22 Oct 2020),Ends            in 3 weeks and 6 days (07 Jul 2021),Ends            in 3 weeks and 6 days (07 Jul 2021),20.10
20.04 (LTS),1 year and 1 month ago (23 Apr 2020),Ends            in 1 year and 3 months (01 Oct 2022),Ends            in 3 years and 9 months (02 Apr 2025),20.04.2
19.10,1 year and 7 months ago (17 Oct 2019),Ended            11 months ago (06 Jul 2020),Ended            11 months ago (06 Jul 2020),NA
18.04 (LTS),3 years ago (26 Apr 2018),Ended            8 months ago (30 Sep 2020),Ends            in 1 year and 9 months (02 Apr 2023),18.04.5
16.04 (LTS),5 years ago (21 Apr 2016),Ended            2 years and 8 months ago (01 Oct 2018),Ended            2 months and 1 week ago (02 Apr 2021),NA
14.04 (LTS),7 years ago (17 Apr 2014),Ended            4 years and 8 months ago (30 Sep 2016),Ended            2 years ago (02 Apr 2019),NA
