Version,Released,Security Support,Release
8.0,3 years ago (01 Apr 2018),Ends            in 4 years and 10 months (30 Apr 2026),8.0.25
5.7,5 years and 8 months ago (01 Oct 2015),Ends            in 2 years and 4 months (31 Oct 2023),5.7.34
5.6,8 years ago (01 Feb 2013),Ended            3 months and 1 week ago (28 Feb 2021),NA
5.5,10 years ago (01 Dec 2010),Ended            2 years and 5 months ago (31 Dec 2018),NA
5.1,12 years ago (01 Dec 2008),No,NA
5.0,15 years ago (01 Oct 2005),No,NA
4.1,16 years ago (01 Oct 2004),Ended            11 years ago (31 Dec 2009),NA
4.0,18 years ago (01 Mar 2003),Ended            12 years ago (31 Dec 2008),NA
