Version,Released,Active Support,Security Support,Release
16,1 month and 3 weeks ago (20 Apr 2021),Ends            in 1 year and 4 months (18 Oct 2022),Ends            in 2 years and 10 months (30 Apr 2024),16.3.0
15,7 months and 3 weeks ago (20 Oct 2020),Ended            2 months and 1 week ago (01 Apr 2021),Ended            1 week and 2 days ago (01 Jun 2021),NA
14 (LTS),1 year and 1 month ago (21 Apr 2020),Ends            in 4 months (19 Oct 2021),Ends            in 1 year and 10 months (30 Apr 2023),14.17.0
12 (LTS),2 years ago (23 Apr 2019),Ended            7 months and 3 weeks ago (20 Oct 2020),Ends            in 10 months (30 Apr 2022),12.22.1
10 (LTS),3 years ago (24 Apr 2018),Ended            1 year ago (19 May 2020),Ended            1 month and 1 week ago (30 Apr 2021),NA
