Version,Released,Security Support,Release
3.9,8 months ago (05 Oct 2020),Ends            in 4 years (05 Oct 2025),3.9.5
3.8,1 year and 8 months ago (14 Oct 2019),Ends            in 3 years and 4 months (14 Oct 2024),3.8.10
3.7,2 years and 11 months ago (27 Jun 2018),Ends            in 2 years (27 Jun 2023),3.7.10
3.6,4 years and 5 months ago (23 Dec 2016),Ends            in 6 months (23 Dec 2021),3.6.13
3.5,5 years and 8 months ago (30 Sep 2015),Ended            9 months ago (13 Sep 2020),NA
3.4,7 years ago (16 Mar 2014),Ended            2 years and 2 months ago (18 Mar 2019),NA
3.3,8 years ago (29 Sep 2012),Ended            3 years and 8 months ago (29 Sep 2017),NA
2.7,10 years ago (03 Jul 2010),Ended            1 year and 5 months ago (01 Jan 2020),NA
