Version,Released,Active Support,Security Support
RHEL 8,2 years ago (01 May 2019),Ends            in 2 years and 11 months (31 May 2024),Yes
RHEL 7,7 years ago (10 Jun 2014),Ended            1 year and 5 months ago (31 Dec 2019),Yes
RHEL 6,10 years ago (10 Nov 2010),Ended            5 years ago (10 May 2016),Ends            in 3 years (30 Jun 2024)
RHEL 5,14 years ago (15 Mar 2007),Ended            8 years ago (08 Jan 2013),Ended            6 months ago (30 Nov 2020)
RHEL 4,16 years ago (14 Feb 2005),Ended            12 years ago (31 Mar 2009),Ended            4 years ago (31 Mar 2017)
