Version,Released,Security Support,Release
34,1 month and 2 weeks ago (27 Apr 2021),Yes,34
33,7 months ago (27 Oct 2020),Yes,33
32,1 year and 1 month ago (28 Apr 2020),Ended            2 weeks and 2 days ago (25 May 2021),NA
31,1 year and 7 months ago (29 Oct 2019),Ended            6 months ago (30 Nov 2020),NA
30,2 years ago (07 May 2019),Ended            1 year ago (26 May 2020),NA
29,2 years and 7 months ago (30 Oct 2018),Ended            1 year and 6 months ago (26 Nov 2019),NA
28,3 years ago (01 May 2018),Ended            2 years ago (28 May 2019),NA
