Version,Released,Active Support,Security Support,Release
CentOS 8,1 year and 8 months ago (24 Sep 2019),Ends            in 6 months and 3 weeks (31 Dec 2021),Ends            in 6 months and 3 weeks (31 Dec 2021),8 (2004)
CentOS 7,6 years and 11 months ago (07 Jul 2014),Ended            5 months ago (31 Dec 2020),Ends            in 3 years (30 Jun 2024),7 (2003)
CentOS 6,9 years ago (10 Jul 2011),Ended            4 years ago (10 May 2017),Ended            6 months ago (30 Nov 2020),NA
